"admin","R_cat","P_cat","M_cat","max_cat"
"NANA",3129,1770,431,"R_cat"
"¤@¼w¨½10¾F",2,0,1,"R_cat"
"¤@¼w¨½11¾F",6,4,0,"R_cat"
"¤@¼w¨½12¾F",8,4,0,"R_cat"
"¤@¼w¨½13¾F",6,0,3,"R_cat"
"¤@¼w¨½14¾F",7,0,2,"R_cat"
"¤@¼w¨½15¾F",72,20,10,"R_cat"
"¤@¼w¨½16¾F",9,0,0,"R_cat"
"¤@¼w¨½17¾F",6,0,1,"R_cat"
"¤@¼w¨½18¾F",5,0,0,"R_cat"
"¤@¼w¨½1¾F",6,2,1,"R_cat"
"¤@¼w¨½20¾F",0,2,0,"P_cat"
"¤@¼w¨½21¾F",3,0,3,"R_cat"
"¤@¼w¨½22¾F",15,4,1,"R_cat"
"¤@¼w¨½23¾F",45,18,10,"R_cat"
"¤@¼w¨½2¾F",0,1,0,"P_cat"
"¤@¼w¨½3¾F",6,3,1,"R_cat"
"¤@¼w¨½4¾F",4,0,1,"R_cat"
"¤@¼w¨½5¾F",4,0,0,"R_cat"
"¤@¼w¨½6¾F",8,2,0,"R_cat"
"¤@¼w¨½7¾F",6,1,0,"R_cat"
"¤@¼w¨½8¾F",9,0,1,"R_cat"
"¤@¼w¨½9¾F",8,0,3,"R_cat"
"¤E¦p¨½11¾F",2,0,2,"R_cat"
"¤E¦p¨½14¾F",1,2,0,"P_cat"
"¤E¦p¨½16¾F",1,1,0,"R_cat"
"¤E¦p¨½18¾F",1,2,0,"P_cat"
"¤E¦p¨½19¾F",3,1,1,"R_cat"
"¤E¦p¨½1¾F",7,1,0,"R_cat"
"¤E¦p¨½20¾F",3,0,0,"R_cat"
"¤E¦p¨½21¾F",1,1,2,"M_cat"
"¤E¦p¨½23¾F",5,1,1,"R_cat"
"¤E¦p¨½24¾F",1,0,1,"R_cat"
"¤E¦p¨½25¾F",7,3,1,"R_cat"
"¤E¦p¨½26¾F",1,0,1,"R_cat"
"¤E¦p¨½2¾F",1,1,0,"R_cat"
"¤E¦p¨½3¾F",2,0,0,"R_cat"
"¤E¦p¨½4¾F",3,1,0,"R_cat"
"¤E¦p¨½5¾F",2,0,0,"R_cat"
"¤E¦p¨½6¾F",4,2,1,"R_cat"
"¤E¦p¨½7¾F",4,1,0,"R_cat"
"¤E¦p¨½8¾F",3,1,2,"R_cat"
"¤K¥P¨½10¾F",14,0,1,"R_cat"
"¤K¥P¨½11¾F",5,2,2,"R_cat"
"¤K¥P¨½13¾F",5,0,0,"R_cat"
"¤K¥P¨½14¾F",7,2,1,"R_cat"
"¤K¥P¨½15¾F",7,8,1,"P_cat"
"¤K¥P¨½16¾F",1,0,0,"R_cat"
"¤K¥P¨½17¾F",4,2,0,"R_cat"
"¤K¥P¨½1¾F",2,1,0,"R_cat"
"¤K¥P¨½2¾F",3,1,1,"R_cat"
